course_alias,reassembled_study_documents,notebooklm_sources_ready,notebooklm_sources_total,snapshot_note
Course-A,2,21,21,selected sources ready at snapshot
Course-B,4,20,20,one later lecture bundle recorded as provisional pending follow-up material
Course-C,5,17,17,selected sources ready at snapshot
Course-D,4,12,12,selected sources ready at snapshot
Course-E,3,11,11,selected sources ready at snapshot
Course-F,6,22,22,selected sources ready at snapshot
TOTAL,24,103,103,readiness measures selected-source ingestion not syllabus completeness
